,TOTAL SAT
0,6439.6
1,6440.3
2,0.0
3,417.6
4,0.0
5,0.0
6,78.0
7,3644.2
8,399.0
9,-389.0
10,0.0
11,0.0
12,0.0
13,5100.01
14,5270.0
15,2990.09
16,25776.61
17,10348.0
18,245.0
19,329.44
20,1498.7
21,24786.66
22,417.6
23,371.2
24,0.0
25,12500.0
26,315.57
27,2066.1
28,0.0
29,1334.28
30,0.0
31,79.0
32,1434.0
33,0.0
34,0.0
35,156.0
36,3907.5
37,8352.0
38,24786.66
39,-5319.18
40,1261.11
41,386.28
42,10871.6
43,4517.6
44,34800.0
45,399.0
46,-224.1
47,263.1
48,2320.0
49,28600.0
50,78.0
51,3214.79
52,21460.0
53,7335.84
54,0.0
55,0.01
56,98.0
57,1087.44
58,3907.5
59,9374.49
60,0.0
61,627.0
62,29000.0
63,320.0
64,5000.01
65,14005.6
66,0.0
67,1434.84
68,156.0
69,0.0
70,0.0
71,1196.92
72,1716.8
73,4060.0
74,3089.08
75,0.0
76,2610.0
77,204.3
78,1987.0
79,896.2
80,4280.0
81,1149.03
82,9905.47
83,183.0
84,183.0
85,0.01
86,224.1
87,510.0
88,0.0
89,0.0
90,0.0
91,6700.0
92,0.0
93,510.0
94,156.0
95,160.0
96,185.0
97,510.0
98,3907.5
99,210.0
100,3470.2
101,0.0
102,1010.04
103,3222.46
104,28600.0
105,0.0
106,21566.81
107,9129.62
108,6439.6
109,6440.3
110,1136.8
111,0.0
112,390.0
113,390.0
114,289.0
115,2400.0
116,1280.22
117,4060.0
118,5270.0
119,11600.0
120,127.0
121,246.0
122,298.0
123,0.0
124,172.0
125,72.0
126,1209.0
127,30.0
128,344.0
129,3907.5
130,113.0
131,524.0
132,815.6
133,670.0
134,1498.7
135,21609.75
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,2900.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,1717.25
158,2506.73
159,438.48
160,-224.1
161,1878.97
162,4152.15
163,4889.35
164,78.0
165,0.0
166,302.1
167,1600.0
168,11600.0
169,2403.93
170,329.44
171,386.28
172,20723.53
173,10348.0
174,464.0
175,0.0
176,5100.01
177,2721.87
178,558.9
179,3907.5
180,260.0
181,0.0
182,225.01
183,5988.22
184,399.0
185,3488.2
186,28600.0
187,1500.01
188,2754.18
189,20468.02
190,1145.45
191,7335.84
192,0.0
193,56.0
194,960.0
195,306.0
196,6022.72
197,3177.77
198,22.0
199,0.0
200,2320.0
201,26015.3
202,2756.43
203,117.0
204,0.0
205,0.0
206,4101.0
207,2000.0
208,1044.0
209,0.0
210,2355.14
211,20302.86
212,785.17
213,3089.08
214,24786.66
215,1706.45
216,3838.5
217,5000.0
218,305.0
219,225.01
220,0.0
221,0.0
222,385.2
223,22.0
224,156.0
225,158.0
226,28600.0
227,0.0
228,3470.2
229,22655.47
230,11605.24
231,6439.6
232,6440.3
233,0.0
234,513.24
235,5270.0
236,2964.61
237,5000.0
238,25557.01
239,568.4
240,0.0
241,-513.24
242,2900.0
243,0.0
244,4060.0
245,147.6
246,0.0
247,0.0
248,2062.5
249,399.0
250,0.0
251,0.0
252,105.0
253,1684.35
254,438.48
255,1498.7
256,0.0
257,10348.0
258,0.0
259,19.97
260,4094.98
261,80.0
262,0.0
263,5100.01
264,329.44
265,2732.04
266,-5000.0
267,386.28
268,23552.03
269,798.0
270,323.64
271,1374.59
272,320.0
273,184.0
274,1100.79
275,138.85
276,3907.5
277,757.64
278,1044.0
279,160.0
280,3493.85
281,58.02
282,-158.0
283,0.0
284,1381.65
285,495.0
286,6098.79
287,2875.65
288,24790.13
289,1500.09
290,1715.3
291,1430.28
292,1221.33
293,7335.84
294,26693.32
295,580.0
296,0.0
297,1480.0
298,1891.0
299,750.0
300,1610.0
301,2320.0
302,3643.0
303,188.07
304,1592.12
305,1931.34
306,1275.94
307,2367.33
308,3480.0
309,0.0
310,487.37
311,483.67
312,978.02
313,1480.0
314,1480.0
315,1323.26
316,1235.01
317,1235.01
318,422.65
319,954.88
320,238.58
321,5092.63
322,986.0
323,3897.6
324,3008.85
325,-5000.0
326,25938.46
327,10348.0
328,134.05
329,0.0
330,250.0
331,0.0
332,3861.0
333,0.0
334,314.44
335,3089.08
336,0.0
337,2214.15
338,3330.75
339,696.0
340,1922.09
341,0.0
342,0.0
343,320.0
344,200.0
345,0.0
346,184.0
347,185.0
348,344.0
349,586.0
350,-1392.0
351,0.0
352,355.3
353,58.0
354,4454.4
355,5100.01
356,3907.5
357,8654.48
358,1387.46
359,53.0
360,2561.0
361,846.31
362,41017.4
363,3907.5
364,3470.2
365,4790.14
366,0.0
367,2839.62
368,24479.52
369,0.0
370,42286.72
371,2310.72
372,28600.0
373,2127.52
374,538.18
375,0.0
376,20438.45
377,568.4
378,0.0
379,0.0
380,1484.08
381,5270.0
382,2467.6
383,2780.85
384,127.0
385,-0.39
386,-1483.69
387,0.0
388,1717.25
389,6439.6
390,6440.3
391,165.0
392,0.0
393,0.0
394,2640.13
395,399.0
396,1600.0
397,149.0
398,918.0
399,0.0
400,138.86
401,438.48
402,1539.3
403,0.0
404,0.0
405,0.0
406,5220.0
407,413.01
408,0.0
409,2900.0
410,2993.5
411,329.44
412,25805.98
413,240.0
414,9575.07
415,5100.01
416,-58.02
417,2279.22
418,1124.28
419,2085.74
420,475.99
421,3907.5
422,10348.0
423,386.28
424,0.0
425,3573.51
426,0.0
427,30806.1
428,544.2
429,364.0
430,3326.25
431,2000.0
432,120.0
433,6258.4
434,22880.0
435,0.0
436,254.45
437,0.0
438,7335.84
439,2320.0
440,1775.73
441,532.3
442,0.0
443,2936.83
444,138.86
445,13560.4
446,25317.5
447,94.0
448,565.8
449,1426.27
450,1434.47
451,3437.0
452,0.0
453,3008.12
454,0.0
455,120.0
456,1412.73
457,0.0
458,0.0
459,749.0
460,3454.65
461,-539.0
462,0.0
463,2960.8
464,3089.08
465,25524.14
466,500.0
467,1067.2
468,1599.92
469,0.0
470,3022.15
471,28599.99
472,70.7
473,120.0
474,0.0
475,23689.36
476,9598.65
477,0.0
478,12293.35
479,22098.41
480,551.82
481,6439.6
482,6440.3
483,568.4
484,0.0
485,245.77
486,-3.07
487,-544.05
488,-4.7
489,3712.0
490,1717.25
491,0.0
492,0.0
493,24786.66
494,0.0
495,0.0
496,0.0
497,573.75
498,5270.0
499,1539.3
500,185.0
501,0.0
502,344.0
503,754.0
504,620.0
505,334.0
506,2654.13
507,2875.09
508,438.48
509,24785.23
510,0.0
511,2900.0
512,5100.01
513,1521.29
514,329.44
515,120.0
516,399.0
517,0.0
518,146.79
519,34.85
520,328.0
521,2053.6
522,3907.5
523,10348.0
524,1500.01
525,0.0
526,2827.34
527,386.28
528,24373.61
529,7561.0
530,2013.73
531,160.0
532,2320.0
533,28600.0
534,362.7
535,1112.9
536,970.1
537,2594.0
538,2310.72
539,-2310.72
540,7335.84
541,5625.78
542,2759.4
543,23787.89
544,2372.86
545,42.0
546,0.0
547,14226.63
548,2522.44
549,6728.0
550,240.0
551,0.0
552,0.0
553,54.15
554,2862.2
555,3089.08
556,24674.13
557,0.0
558,0.0
559,1276.0
560,3907.5
561,0.0
562,0.0
563,3843.72
564,80.0
565,0.0
566,396.0
567,901.04
568,2989.92
569,1044.0
570,0.0
571,28600.0
572,1400.98
573,4500.8
574,1000.0
575,0.0
576,9754.47
577,21894.39
578,6439.6
579,6440.3
580,0.0
581,5270.0
582,2706.59
583,23332.64
584,568.4
585,0.0
586,6142.75
587,3499.0
588,3499.0
589,3499.0
590,1457.12
591,3088.38
592,1717.25
593,1539.3
594,0.0
595,0.0
596,120.0
597,399.0
598,-3.02
599,-4.19
600,-1452.93
601,0.0
602,0.0
603,0.0
604,4350.0
605,2671.03
606,374.93
607,550.0
608,5100.01
609,13780.8
610,247.04
611,438.48
612,329.44
613,874.25
614,434.75
615,268.95
616,1972.0
617,0.0
618,117.91
619,0.0
620,11832.0
621,5009.5
622,2742.02
623,23638.14
624,3907.5
625,10348.0
626,6546.45
627,1662.28
628,386.28
629,366.05
630,217.02
631,160.0
632,474.15
633,0.0
634,1073.0
635,24786.66
636,592.9
637,8526.0
638,280.59
639,5204.16
640,100.8
641,2816.77
642,24282.46
643,0.0
644,28600.0
645,203.97
646,1305.68
647,2320.0
648,962.2
649,1508.0
650,7335.84
651,1807.65
652,117.91
653,0.0
654,1534.57
655,9717.49
656,1609.95
657,766.23
658,2323.67
659,7127.0
660,8104.92
661,8104.92
662,562.0
663,37.0
664,184.0
665,239.99
666,292.2
667,-34.85
668,1979.99
669,6960.0
670,2893.41
671,24943.18
672,473.28
673,895.0
674,1625.51
675,482.77
676,1462.56
677,270.0
678,0.0
679,0.0
680,240.0
681,298.8
682,1980.0
683,1458.13
684,5348.0
685,12870.07
686,-3715.76
687,3715.76
688,0.0
689,3089.08
690,4394.0
