,TOTAL SAT
0,6439.6
1,6440.3
2,9807.07
3,568.4
4,0.0
5,5213.21
6,1717.25
7,0.0
8,0.0
9,0.0
10,2302.95
11,0.0
12,0.0
13,3024.31
14,496.48
15,5000.0
16,22316.98
17,0.0
18,0.0
19,2578.68
20,2588.77
21,125.07
22,1684.32
23,795.3
24,349.0
25,0.0
26,388.6
27,0.0
28,1975.83
29,2541.32
30,0.0
31,0.0
32,5100.0
33,158.6
34,437.32
35,571.0
36,6650.0
37,19920.13
38,1667.75
39,527.35
40,2310.74
41,6650.0
42,1439.1
43,28600.0
44,220.0
45,948.0
46,4350.0
47,0.0
48,0.0
49,0.0
50,403.47
51,2320.0
52,7335.84
53,1440.0
54,260.0
55,1095.04
56,19440.14
57,10348.0
58,2255.06
59,100.8
60,1961.11
61,2649.3
62,2965.08
63,3008.0
64,324.8
65,2142.0
66,287.56
67,3553.3
68,1414.08
69,3348.92
70,625.51
71,0.0
72,21668.65
73,2610.0
74,399.0
75,355.54
76,5220.0
77,2513.56
78,727.21
79,480.0
80,3553.3
81,0.0
82,1747.98
83,27368.43
84,188.39
85,6786.0
86,349.16
87,6419.38
88,382.8
89,0.0
90,4579.18
91,2521.58
92,2578.68
93,-1095.04
94,-1095.04
95,0.0
96,139.2
97,0.0
98,28600.0
99,11.6
100,0.0
101,19559.66
102,334.79
103,12165.54
104,20628.92
105,6439.6
106,6440.3
107,9807.07
108,585.8
109,0.0
110,863.69
111,95.7
112,157.0
113,0.0
114,2392.95
115,0.0
116,478.0
117,375.0
118,0.0
119,0.0
120,3216.32
121,1717.25
122,6062.77
123,0.0
124,0.0
125,0.0
126,5100.0
127,2888.03
128,0.0
129,0.0
130,0.0
131,1762.25
132,496.48
133,1684.32
134,0.0
135,388.6
136,399.0
137,0.0
138,437.32
139,350.0
140,0.0
141,21873.23
142,2449.21
143,2537.29
144,3553.3
145,264.0
146,133.1
147,10348.0
148,0.0
149,269.0
150,22920.1
151,859.75
152,2320.0
153,28600.0
154,2658.73
155,1706.36
156,1268.9
157,356.5
158,1350.4
159,7335.84
160,2777.04
161,1188.2
162,531.65
163,1276.0
164,2129.68
165,3217.0
166,0.0
167,1906.61
168,4350.0
169,23094.28
170,2678.94
171,0.0
172,72.0
173,625.51
174,317.0
175,2283.8
176,3348.92
177,1359.43
178,388.6
179,0.0
180,0.0
181,399.99
182,156.6
183,3348.92
184,6796.43
185,904.8
186,1208.72
187,28600.0
188,0.0
189,220.0
190,18753.92
191,14472.32
